year,社会平均,国有单位,备注
1999,20714,23602,
2000,23039,26193,
2001,25941,31187,
2002,28218,35501,
2003,30611,40893,
2004,31928,45212,
2005,32476,47762,
2006,35107,49312,
2007,38798,58374,
2008,43454,65431,
2009,46723,72278,
2010,50456,79734,
2011,55143,85218,
2012,59010,90492,
2013,62619,90393,
2014,72651,108192,
2015,81034,117432,
2016,89757,124927,
2017,100173,150444,
2018,111709,172466,
2019,123997,191437,预估 11% 平均年增长
2020,137636,212495,预估 11% 平均年增长
