year,每平米单价,年增长率,备注
1999,5503,0,
2000,5718,3.9,
2001,5779,1.06,
2002,6145,6.49,
2003,6215,1.14,
2004,6771,8.95,
2005,7582,11.98,
2006,10039,32.4,
2007,14050,40,
2008,12665,-9.86,
2009,15214,20.13,
2010,20850,37.04,
2011,20674,-0.85,
2012,20035,-3.09,
2013,23776,18.67,
2014,25700,8.09,
2015,35071,36.46,
2016,52777,50.49,
2017,54430,3.13,
2018,54090,0.62,
2019,59000,9.08,预估 以网络中介数据为参考
2020,68000,15.25,预估 以网络中介数据为参考截止2020.05
