year,实际GDP增长率,CPI增长率,备注
2000,16.3,2.8,
2001,14.5,-2.2,
2002,15.8,1.2,
2003,19.1,0.7,
2004,17.4,1.3,
2005,15.3,1.6,
2006,16.7,2.2,
2007,14.8,4.1,
2008,12.3,5.9,
2009,11.3,-1.2,
2010,12.2,3.5,
2011,10,5.4,
2012,10.2,2.8,
2013,10.6,2.7,
2014,8.8,2,
2015,8.9,2.2,
2016,9.1,2.4,
2017,8.8,1.4,
2018,7.6,2.8,
2019,6.7,3.9,
2020,3.5,3.9,疫情影响
