year,全国,深圳,广州,北京,上海,香港
2000,8,14.2,,,,7.66
2001,7.3,13.2,,,,0.56
2002,8,15,,,,1.66
2003,9.1,17.3,,,,3.06
2004,9.5,17.3,,,,8.7
2005,9.9,15,,,,7.39
2006,10.7,15,,,,7.03
2007,11.4,14.7,,,,6.46
2008,9,12.1,,,,2.13
2009,8.7,10.1,,,,-2.46
2010,10.3,12,,,,6.77
2011,9.2,10,,,,4.81
2012,7.8,10,,,,1.7
2013,7.7,10.5,,,,3.1
2014,7.4,8.8,,,,2.76
2015,6.9,8.9,,,,2.39
2016,6.7,9,,,,2.18
2017,6.9,8.8,,,,3.85
2018,6.6,7.6,,,,3
2019,6.1,6.7,,,,-1.2
